Year_Built,Remodel_Year,Lot_Area,Total_SqFt,Basement_SqFt,Bedrooms,Bathrooms,Garage_Cars,Fireplaces,Has_Pool,Overall_Qual,Neighborhood,House_Condition,Garage_Type,Heating_Type,Sale_Price
1970,1970,7145,3109,643,1,1.5,1,1,0,9,Downtown,Good,Attached,Oil,884207
1972,1972,18779,4394,680,3,3.5,1,0,0,8,Suburbs,Poor,Detached,Oil,615364
1952,1952,8492,961,954,4,3.0,0,2,0,7,Suburbs,Excellent,None,Gas,487574
1981,1981,10111,4358,1595,1,2.5,1,1,0,7,Suburbs,Good,Detached,Gas,803063
1969,1969,16087,2803,1904,3,2.5,0,2,0,1,Waterfront,Good,None,Gas,1051769
1978,1998,12984,2782,848,3,3.5,1,1,0,5,Suburbs,Fair,Attached,Oil,507433
2001,2021,9792,3028,240,6,3.5,2,2,0,7,Suburbs,Poor,Attached,Gas,465094
1995,1995,10711,1524,701,6,3.5,3,3,0,2,Rural,Good,Detached,Electric,322584
1983,2001,4565,1268,1519,3,3.5,1,3,0,6,Downtown,Good,Attached,Gas,636604
2010,2010,6667,2609,339,6,3.0,1,1,0,2,Rural,Excellent,Detached,Electric,536749
2021,2016,9459,820,792,3,2.5,1,2,0,3,Suburbs,Good,Attached,Gas,291521
2020,2020,7096,4146,743,1,3.5,3,2,0,1,Downtown,Good,Attached,Oil,979612
2019,1998,4019,1059,1494,2,4.0,0,3,0,3,Historic,Poor,None,Gas,280820
1960,2006,12476,4204,462,6,1.0,2,2,0,7,Historic,Good,Attached,Electric,1008004
2012,2012,11254,3313,800,5,1.0,0,0,0,5,Waterfront,Good,None,Gas,1147063
1970,2015,14584,1939,1298,5,4.0,0,2,0,4,Suburbs,Excellent,None,Electric,727900
1952,1952,8965,2236,1848,5,2.0,1,3,0,8,Downtown,Excellent,Detached,Oil,1114946
1959,1990,14464,1336,14,2,3.5,3,0,0,8,Rural,Excellent,Detached,Gas,448309
1976,1976,15439,1751,1064,3,2.0,2,0,0,1,Suburbs,Good,Detached,Oil,398174
1961,1961,7721,3613,1988,3,1.5,0,2,0,9,Downtown,Fair,None,Electric,896456
1956,2012,11408,3806,207,4,1.0,2,3,0,9,Suburbs,Good,Attached,Gas,793281
1966,1966,3195,2779,1083,5,1.5,1,3,0,2,Downtown,Good,Attached,Gas,692987
2014,2014,6273,2640,364,5,1.5,3,3,0,2,Historic,Excellent,Detached,Gas,869428
2013,2013,18330,2656,1263,3,2.5,2,0,0,8,Suburbs,Fair,Attached,Electric,599007
1975,2017,13886,3781,607,5,3.0,1,3,0,6,Rural,Fair,Attached,Oil,464961
1964,1964,6212,1650,1813,3,4.0,2,0,0,3,Suburbs,Excellent,Attached,Gas,568648
1982,1982,5755,2771,1962,3,2.5,3,0,1,2,Suburbs,Fair,Detached,Electric,481848
2011,2007,4080,2080,159,6,2.5,0,1,0,5,Suburbs,Good,None,Oil,482885
1996,1996,18501,1991,396,3,2.5,2,2,0,8,Suburbs,Excellent,Attached,Solar,695211
1984,1984,17047,1332,1957,1,2.5,0,3,0,6,Historic,Good,None,Electric,580835
2014,2014,3639,4469,793,1,2.5,1,0,0,3,Waterfront,Good,Detached,Solar,1200000
2021,2021,15502,2862,499,1,1.0,0,2,0,9,Historic,Excellent,None,Electric,1014917
1974,1974,8190,2897,208,1,1.0,1,0,0,8,Historic,Poor,Detached,Gas,476838
2006,2002,6736,3846,1156,2,1.5,2,2,0,10,Rural,Fair,Detached,Oil,530225
1981,1981,19473,1103,1404,4,1.5,3,0,0,6,Historic,Good,Attached,Electric,593572
2012,2012,4251,4358,432,4,3.0,0,3,0,1,Downtown,Good,None,Electric,875606
1961,1961,12294,1215,608,3,1.5,3,1,0,2,Suburbs,Good,Attached,Electric,370074
2012,2012,19732,1104,1754,5,3.5,0,1,0,4,Downtown,Good,None,Oil,646888
1950,2004,7052,3043,388,1,4.0,0,1,0,2,Suburbs,Good,None,Oil,547158
2000,2000,3271,1612,996,4,4.0,2,0,1,3,Suburbs,Excellent,Attached,Gas,553011
2019,2019,14698,3647,582,4,4.0,1,2,0,8,Suburbs,Good,Attached,Gas,762963
1957,1957,18889,3235,431,1,2.0,3,3,1,9,Waterfront,Fair,Detached,Electric,1127697
2017,1996,12657,3604,1297,2,2.5,1,3,0,6,Suburbs,Good,Attached,Electric,743572
1954,1954,12387,2784,350,2,1.5,0,0,0,4,Suburbs,Excellent,None,Gas,664636
1988,1988,19376,3302,133,4,3.5,2,1,0,2,Suburbs,Fair,Attached,Oil,528785
1972,2018,14279,1512,1089,2,3.5,1,0,0,7,Downtown,Excellent,Attached,Electric,818441
2017,2017,15015,3552,638,6,3.5,0,2,0,10,Waterfront,Good,None,Gas,1200000
2001,1990,10041,3695,1228,1,2.5,1,1,0,7,Downtown,Excellent,Detached,Gas,1200000
1953,2007,11708,2481,1321,4,3.5,0,0,1,10,Historic,Good,None,Gas,885093
1996,1996,13857,2133,116,1,1.5,1,2,0,9,Waterfront,Fair,Attached,Solar,777051
1970,2012,12493,3998,1971,2,1.0,1,1,0,5,Suburbs,Good,Detached,Gas,765446
2005,1999,11052,974,1290,1,3.5,2,3,0,10,Downtown,Excellent,Detached,Gas,906251
2015,1996,19995,4005,1817,2,2.5,2,2,0,4,Waterfront,Fair,Detached,Electric,1200000
2008,1997,16580,1889,148,2,4.0,2,3,0,10,Rural,Fair,Detached,Gas,385040
1956,1956,13216,2216,1217,1,1.5,3,2,0,6,Rural,Fair,Detached,Gas,353295
1998,1998,9229,2787,1703,2,3.5,2,1,1,2,Waterfront,Excellent,Attached,Gas,1200000
1965,2007,16343,4236,1847,6,2.5,3,0,0,2,Downtown,Good,Attached,Electric,1150864
1966,1966,5098,3126,1909,3,3.5,2,0,0,9,Suburbs,Poor,Detached,Electric,493383
1983,2000,18438,1557,178,1,3.5,2,0,0,7,Downtown,Fair,Attached,Gas,584251
1982,1982,10865,3210,147,3,3.5,2,0,1,7,Historic,Excellent,Detached,Gas,1006242
1975,2022,19557,2572,464,1,2.0,3,2,0,5,Rural,Excellent,Attached,Solar,603909
2015,2015,15211,970,975,2,4.0,1,0,1,7,Suburbs,Good,Detached,Gas,457081
2012,2012,3500,1874,568,2,1.5,2,0,0,9,Downtown,Poor,Detached,Gas,494536
1990,2013,6646,2151,1028,4,1.0,3,2,0,10,Suburbs,Good,Attached,Gas,608996
2007,2007,13048,1464,525,6,2.5,2,2,0,5,Suburbs,Good,Attached,Electric,479164
1959,1959,14344,1391,279,4,3.5,1,1,0,9,Rural,Excellent,Attached,Oil,486174
1964,1964,12910,3778,498,3,2.5,3,2,0,1,Rural,Good,Detached,Gas,484761
1991,2017,4778,1968,835,2,3.5,0,3,0,3,Historic,Fair,None,Electric,442585
2006,1994,15984,3121,435,4,3.0,2,1,0,7,Suburbs,Good,Attached,Gas,663886
1966,1966,8190,4026,815,2,1.5,2,1,0,4,Downtown,Fair,Detached,Gas,842997
2009,2009,18304,3355,1239,1,4.0,1,0,0,2,Rural,Poor,Attached,Oil,333673
1958,1958,9997,3210,686,4,1.0,3,0,1,3,Waterfront,Excellent,Attached,Gas,1200000
1985,2001,15020,2148,827,3,3.5,0,3,0,7,Rural,Good,None,Electric,413612
2022,2022,7747,1647,968,4,2.0,2,0,0,8,Waterfront,Good,Attached,Gas,880975
1985,1985,12286,3502,1538,2,2.5,3,2,0,9,Suburbs,Fair,Attached,Electric,705211
1997,1997,3045,3145,1910,5,2.5,1,2,0,6,Suburbs,Good,Attached,Gas,668982
2000,1998,10758,1293,1160,5,1.5,1,0,0,10,Suburbs,Good,Attached,Oil,494514
2019,2011,3455,1345,611,6,2.0,1,0,0,9,Downtown,Fair,Attached,Gas,524632
2017,2006,12854,3151,594,2,1.5,1,2,0,4,Downtown,Good,Attached,Oil,828645
1971,1971,4528,2290,1303,1,1.5,1,1,0,5,Downtown,Poor,Detached,Gas,475700
1955,2013,5976,1703,131,4,1.5,2,3,0,1,Rural,Good,Attached,Electric,275967
1975,2004,16288,3086,392,5,2.5,2,3,0,9,Suburbs,Excellent,Attached,Gas,977397
1952,1952,9387,3497,480,1,3.5,2,1,0,9,Suburbs,Good,Attached,Solar,694011
2001,2001,5521,2340,1536,2,2.5,3,3,1,9,Historic,Fair,Attached,Gas,666436
2009,2009,9525,1683,627,1,3.5,1,0,0,3,Suburbs,Good,Detached,Gas,392595
2012,2018,4126,4047,418,2,3.0,0,0,0,10,Suburbs,Fair,None,Electric,640956
2014,2004,16348,3257,1225,6,3.0,1,0,0,10,Waterfront,Poor,Attached,Gas,988548
2001,2016,10716,3573,651,4,3.0,0,3,0,10,Suburbs,Good,None,Gas,765129
1963,1963,19102,4235,657,1,2.5,3,1,0,8,Downtown,Poor,Detached,Solar,836627
2021,2021,6404,3894,461,4,3.0,2,0,0,3,Suburbs,Excellent,Detached,Solar,881847
2017,2010,7492,3165,1801,1,1.0,3,1,1,6,Suburbs,Excellent,Attached,Gas,920124
1977,1977,5343,3372,1225,2,3.5,2,2,0,5,Historic,Excellent,Attached,Solar,1030334
2020,1995,3106,1704,1937,2,3.5,1,2,1,8,Waterfront,Fair,Attached,Electric,759745
1959,2009,18195,4147,151,1,1.5,2,2,0,3,Rural,Good,Detached,Gas,577215
2006,2006,16241,3871,1920,6,3.5,1,3,0,1,Historic,Excellent,Attached,Electric,1182868
2015,2015,15575,4475,221,2,1.0,0,3,0,9,Waterfront,Good,None,Electric,1200000
1999,2010,7801,1419,78,3,1.5,2,0,0,10,Suburbs,Good,Attached,Solar,461541
1963,1963,8580,1752,1223,3,1.0,1,2,0,9,Historic,Excellent,Attached,Gas,781775
1965,2021,19598,4100,1785,4,3.5,2,1,1,3,Suburbs,Fair,Detached,Electric,717923
2003,2003,8400,3979,98,3,3.5,3,3,1,2,Waterfront,Fair,Attached,Gas,1101127
1992,2002,9875,3648,911,3,3.5,1,1,1,4,Historic,Good,Attached,Gas,840364
1991,1990,11656,3763,212,6,1.0,1,1,0,8,Suburbs,Poor,Detached,Gas,512001
1971,2011,9247,4047,1166,6,2.5,0,0,1,6,Downtown,Good,None,Solar,1041402
2017,2017,9177,1119,701,5,3.0,1,0,0,10,Suburbs,Poor,Detached,Oil,331012
1968,2019,10269,4157,1412,5,1.5,3,1,1,1,Suburbs,Good,Detached,Oil,746132
2015,2015,17974,1675,1836,6,3.0,3,1,0,8,Waterfront,Good,Detached,Electric,1134830
1988,1988,17037,3176,1397,5,1.5,0,1,0,5,Historic,Excellent,None,Gas,1045840
2022,2022,19167,2700,1075,6,1.5,3,1,1,6,Downtown,Fair,Attached,Gas,833315
1968,1968,13380,1552,966,5,2.5,3,2,1,5,Suburbs,Good,Attached,Gas,507769
1965,1965,9617,3504,1647,2,3.0,3,1,0,10,Suburbs,Excellent,Attached,Gas,1042569
2003,2003,3303,2179,134,6,1.5,1,3,0,5,Suburbs,Excellent,Attached,Oil,593092
1974,2001,15683,1837,410,4,1.5,3,0,0,3,Downtown,Good,Detached,Electric,618728
1967,2022,19717,4146,1493,4,1.5,2,3,0,4,Suburbs,Good,Detached,Gas,802094
1972,1972,14025,870,1135,6,1.5,2,0,0,5,Historic,Fair,Detached,Gas,405303
1960,1998,7561,3674,1548,3,1.5,3,0,0,2,Suburbs,Fair,Attached,Gas,555368
1988,1988,3079,4066,784,4,2.0,2,0,0,6,Suburbs,Excellent,Detached,Gas,890323
2017,2017,6763,3712,1768,3,3.0,1,3,0,2,Rural,Fair,Attached,Solar,447581
1974,1999,13169,2635,1067,4,2.5,3,0,0,4,Suburbs,Excellent,Detached,Electric,790771
2012,2012,6976,3775,1420,1,3.5,1,1,0,1,Historic,Fair,Detached,Oil,618753
1979,2017,5124,2346,1608,1,3.0,2,1,0,4,Historic,Fair,Attached,Electric,525470
1994,1994,9652,905,260,6,1.5,2,2,0,7,Suburbs,Good,Attached,Gas,413488
2010,2010,8283,1569,742,4,1.0,2,2,0,8,Suburbs,Fair,Attached,Gas,409671
2000,2000,10176,2809,544,2,3.5,0,2,0,2,Suburbs,Good,None,Oil,500452
1958,2002,15409,3740,387,3,1.0,0,1,0,3,Suburbs,Good,None,Oil,654838
1951,2018,15319,3043,1499,4,1.5,3,3,0,1,Downtown,Fair,Detached,Gas,763097
1954,1994,3997,2992,1433,6,1.0,1,2,0,7,Rural,Good,Attached,Electric,504928
2011,1992,14001,2173,1603,3,3.0,3,1,0,4,Suburbs,Good,Attached,Electric,556530
2018,2018,7664,4295,15,5,2.5,2,0,1,10,Downtown,Good,Detached,Electric,1184977
2001,2005,16117,3318,661,6,4.0,2,3,0,8,Suburbs,Fair,Detached,Solar,670579
1954,1954,14231,2509,1827,4,3.5,2,3,0,5,Historic,Good,Attached,Electric,787090
2008,2008,10440,1015,101,2,2.0,2,1,0,9,Suburbs,Excellent,Attached,Electric,541489
2017,2012,14218,1916,1209,5,2.0,1,1,0,6,Downtown,Fair,Detached,Gas,642767
1958,1958,18608,1059,950,6,2.0,3,0,0,10,Suburbs,Fair,Attached,Gas,441551
1971,1971,7090,1733,930,4,1.5,3,0,0,2,Historic,Excellent,Attached,Gas,588000
1976,2016,10471,1374,24,1,1.5,2,0,0,1,Suburbs,Excellent,Attached,Gas,412633
1959,1998,6743,2364,1095,4,1.5,1,3,0,1,Rural,Excellent,Attached,Electric,471814
2010,1998,13196,2610,1616,1,1.5,0,3,0,9,Waterfront,Good,None,Electric,1189245
2000,2000,10008,1084,1596,1,1.5,0,2,0,1,Suburbs,Good,None,Gas,308881
1959,1959,6324,3331,17,6,2.0,3,2,0,3,Rural,Fair,Detached,Oil,385528
1955,1990,11632,2754,1777,4,4.0,1,2,1,2,Suburbs,Good,Attached,Gas,633444
2011,2016,3226,3219,569,4,2.5,3,3,0,4,Rural,Good,Attached,Gas,467806
1954,2018,17863,869,1016,1,4.0,1,0,0,1,Rural,Good,Attached,Gas,259332
2019,2008,19027,1178,1355,3,2.0,2,2,0,1,Suburbs,Fair,Attached,Gas,332487
2012,2013,7718,2102,1912,5,2.5,2,0,1,4,Downtown,Good,Detached,Gas,801773
2005,2005,8672,3149,1592,2,2.0,1,0,0,4,Waterfront,Poor,Attached,Electric,787337
2008,2012,18262,1054,1120,4,1.5,2,0,0,7,Suburbs,Good,Attached,Gas,440934
2012,2002,6199,2507,1750,5,1.5,1,2,0,8,Suburbs,Excellent,Attached,Solar,837799
2008,2019,8270,3791,830,5,4.0,2,2,0,8,Downtown,Good,Attached,Gas,1124639
2000,2000,15750,1491,1035,3,4.0,2,0,0,8,Rural,Good,Attached,Gas,425500
1999,1996,10897,2087,1034,5,1.0,3,2,0,9,Rural,Good,Attached,Gas,475495
1953,2000,11664,1633,1932,4,1.5,0,1,1,1,Downtown,Excellent,None,Electric,750649
1997,2010,17892,3564,162,6,2.5,1,2,1,9,Suburbs,Excellent,Attached,Gas,1058632
1981,1992,11271,3271,1306,6,1.5,2,0,0,10,Suburbs,Fair,Attached,Oil,622793
2000,2000,8158,3060,1752,5,2.0,0,0,1,8,Rural,Excellent,None,Electric,679037
2001,2001,15844,2835,871,4,1.5,0,3,0,1,Suburbs,Fair,None,Electric,459658
1983,1983,3589,2767,834,4,2.5,3,3,0,7,Rural,Good,Detached,Electric,479463
1985,1985,12552,899,1264,1,2.0,0,0,0,9,Suburbs,Good,None,Gas,405184
2019,2011,19267,2652,856,3,2.0,1,1,0,4,Historic,Good,Attached,Gas,712164
1992,1992,19159,3983,1068,2,1.5,1,3,0,9,Downtown,Good,Attached,Gas,1150976
1965,2001,17263,3155,969,1,2.5,2,0,0,1,Suburbs,Good,Attached,Electric,589894
2008,2008,8399,3525,592,2,4.0,1,3,0,9,Downtown,Excellent,Detached,Gas,1200000
2002,2002,11503,3322,254,4,2.0,3,3,0,6,Historic,Excellent,Detached,Gas,1080559
1968,1968,4076,2371,66,6,3.5,3,0,1,4,Historic,Good,Attached,Solar,661001
1990,2002,10235,911,917,1,3.5,1,2,0,5,Suburbs,Good,Attached,Gas,359136
1996,1996,19417,3958,613,5,4.0,2,1,1,7,Rural,Poor,Detached,Oil,438922
2003,2003,4841,982,973,5,3.5,3,2,0,10,Waterfront,Fair,Attached,Oil,761772
2004,1997,7481,3444,602,2,3.0,3,0,1,4,Rural,Fair,Detached,Gas,429466
1968,2004,4134,964,1065,4,3.5,2,0,0,8,Suburbs,Fair,Detached,Gas,348576
2011,1996,16139,3662,1811,6,1.0,2,1,0,3,Suburbs,Good,Detached,Gas,756311
2008,2008,10771,2937,1839,2,2.5,1,0,1,2,Downtown,Good,Detached,Electric,819599
2014,2014,11567,2823,1809,6,4.0,0,3,0,1,Historic,Poor,None,Electric,489762
2017,2013,11915,1254,383,3,3.5,3,1,0,6,Historic,Good,Attached,Oil,493155
1977,1996,16898,3085,1612,6,4.0,1,2,0,2,Rural,Good,Detached,Solar,509434
1967,2017,4913,2822,1257,5,3.5,1,1,0,8,Suburbs,Excellent,Detached,Electric,916506
1975,1975,7297,3381,965,1,3.5,3,2,1,10,Suburbs,Good,Attached,Gas,785740
1968,1968,4942,1526,1737,1,3.0,3,0,0,4,Rural,Good,Attached,Gas,305344
2004,2004,3337,2905,484,1,3.5,2,2,1,9,Historic,Fair,Attached,Oil,681573
2006,2020,17256,1341,1756,6,2.5,2,2,0,4,Historic,Good,Attached,Gas,632816
1955,1955,13057,2737,1797,5,4.0,3,2,0,4,Waterfront,Good,Detached,Gas,1200000
1950,2009,11983,1821,38,6,3.5,0,1,0,8,Rural,Poor,None,Electric,263999
1957,1957,19283,3465,10,4,3.5,2,3,0,8,Downtown,Excellent,Attached,Gas,1200000
2000,2021,6700,3249,623,5,3.0,1,2,0,5,Suburbs,Good,Attached,Solar,649168
1974,1974,15145,3853,408,5,2.0,0,1,0,3,Historic,Excellent,None,Electric,1090079
1996,2007,9118,1641,107,6,1.0,3,1,0,2,Rural,Fair,Attached,Gas,251367
2004,2004,5673,2502,1117,6,4.0,3,3,0,9,Downtown,Poor,Attached,Solar,686117
2013,2012,5122,2489,1846,1,3.0,2,1,0,9,Downtown,Good,Detached,Gas,864720
1959,2004,14977,3686,83,5,2.0,3,0,0,5,Rural,Fair,Attached,Gas,473357
2005,2005,11250,1318,57,1,1.5,1,0,0,8,Downtown,Good,Attached,Gas,524652
1961,2003,6688,996,1316,4,3.5,2,0,0,7,Suburbs,Poor,Attached,Gas,310362
1982,2003,6748,2893,1039,3,3.5,2,3,0,3,Suburbs,Fair,Attached,Electric,493041
2020,1994,9342,3377,990,1,3.5,1,1,0,5,Rural,Fair,Detached,Gas,406016
1966,2011,19275,2220,1500,6,3.0,1,0,0,9,Rural,Excellent,Attached,Gas,693107
2010,2017,16665,2488,837,2,2.0,2,2,0,4,Suburbs,Poor,Attached,Gas,393305
1959,1959,7130,1799,604,3,2.0,3,1,0,3,Rural,Fair,Detached,Oil,275147
1980,1980,6029,3623,968,4,1.0,0,0,0,7,Suburbs,Good,None,Oil,652585
2009,2009,16182,2921,164,6,3.5,2,1,1,8,Suburbs,Fair,Attached,Gas,621696
2019,2019,7035,4287,436,3,1.5,3,0,0,5,Rural,Good,Attached,Gas,589388
1966,1966,18127,2437,726,6,3.0,3,2,0,8,Rural,Fair,Detached,Gas,435061
1999,2007,5899,3182,1679,1,2.5,2,1,0,5,Waterfront,Excellent,Attached,Gas,1200000
1986,1986,12638,2670,1809,6,2.5,1,0,0,9,Rural,Fair,Attached,Oil,447938
2011,2018,16222,1432,402,4,4.0,3,0,0,7,Rural,Good,Detached,Electric,384993
2021,2011,7242,3535,1963,2,1.0,0,2,0,5,Downtown,Excellent,None,Gas,1170811
1978,2018,4439,1374,1409,1,3.5,0,2,0,9,Suburbs,Excellent,None,Gas,669653
1981,1981,8613,3143,1977,1,1.0,1,0,0,5,Suburbs,Excellent,Detached,Gas,784652
1960,1960,8375,1907,1161,4,1.0,3,0,0,8,Suburbs,Good,Detached,Electric,500805
1955,1955,11877,1838,715,4,2.5,2,3,0,4,Historic,Good,Attached,Gas,560444
1984,1984,5466,2690,813,3,1.0,3,3,0,9,Suburbs,Good,Detached,Solar,639087
1982,1982,10824,4005,721,2,3.5,3,1,0,6,Historic,Good,Attached,Oil,916924
1967,1967,15329,1277,530,6,2.5,2,1,0,6,Rural,Good,Attached,Gas,341482
1986,2011,14630,3480,1829,3,1.0,2,3,0,3,Waterfront,Fair,Detached,Electric,1071048
1962,2007,17203,3166,292,6,1.0,1,0,0,3,Suburbs,Excellent,Detached,Solar,805123
2013,2021,9928,4263,1498,6,3.0,2,2,0,4,Rural,Poor,Attached,Electric,439162
1950,2017,12111,3326,1022,6,3.5,0,1,0,1,Suburbs,Fair,None,Gas,528959
2012,2012,11120,3215,1903,3,2.5,2,0,0,6,Suburbs,Good,Attached,Gas,758012
1983,2011,14064,1166,461,1,2.5,3,2,0,1,Rural,Good,Attached,Oil,273373
1959,2017,12404,4159,1836,4,3.5,1,2,1,4,Suburbs,Fair,Attached,Electric,715896
1956,1956,3871,2636,1396,1,3.0,2,0,0,7,Downtown,Excellent,Detached,Electric,991984
2005,2018,15582,3225,1185,2,1.5,1,0,0,6,Rural,Excellent,Detached,Oil,655878
1986,1986,3863,2515,641,3,3.0,1,1,1,8,Suburbs,Excellent,Attached,Oil,782512
1978,1978,17883,3310,43,2,3.0,1,3,1,4,Historic,Fair,Detached,Solar,686731
1961,1991,15145,2417,1888,4,3.0,3,0,0,9,Historic,Excellent,Attached,Gas,1053985
1966,2015,6055,812,1106,4,3.0,2,3,0,10,Historic,Good,Detached,Electric,573194
1997,2000,15186,1335,891,5,4.0,2,1,0,8,Suburbs,Poor,Attached,Electric,366700
1975,2014,5682,4039,635,2,1.5,1,3,0,5,Downtown,Fair,Attached,Oil,869335
1961,2008,15882,3117,538,1,4.0,0,3,1,6,Historic,Good,None,Electric,827212
1970,2009,8278,3941,1839,2,2.5,3,2,0,5,Suburbs,Excellent,Attached,Gas,960421
1991,1991,16805,4189,861,3,3.0,1,1,0,6,Historic,Fair,Attached,Oil,824069
2010,2006,19997,1175,518,4,1.5,3,0,0,1,Historic,Good,Detached,Electric,395768
2007,2007,4872,3960,1434,4,2.0,0,3,1,4,Historic,Excellent,None,Gas,1142110
2003,2003,14346,2524,1364,2,3.5,2,1,1,9,Suburbs,Excellent,Attached,Electric,982688
1983,1983,10723,1056,710,2,3.0,2,2,1,4,Suburbs,Poor,Attached,Gas,290459
1956,1993,16871,3064,1647,6,1.0,1,2,0,2,Historic,Good,Attached,Gas,773389
1984,2021,18946,1249,88,2,2.5,3,3,0,6,Suburbs,Fair,Attached,Gas,389929
1964,2008,10189,1693,1663,6,1.5,2,3,0,2,Suburbs,Fair,Attached,Gas,425347
2014,2014,15752,4415,1253,3,4.0,1,0,0,3,Rural,Good,Detached,Electric,607273
1974,2017,14565,4012,1041,3,3.5,0,1,0,7,Historic,Good,None,Electric,954441
2008,2008,9942,1984,1824,1,1.0,2,0,0,4,Rural,Good,Attached,Electric,350606
1955,1955,17730,2879,672,2,3.5,3,0,1,1,Rural,Good,Attached,Oil,426356
2001,1994,14383,2647,863,1,4.0,1,2,0,9,Downtown,Good,Attached,Gas,933056
1970,1970,3244,4023,889,5,2.0,2,1,0,6,Rural,Fair,Attached,Gas,457919
2020,2011,3020,2083,1304,3,3.0,0,0,0,9,Historic,Good,None,Oil,644612
1981,1981,16917,4150,1933,4,2.5,2,2,0,3,Downtown,Fair,Attached,Gas,980393
2002,2002,16721,2108,421,6,3.0,1,3,1,5,Suburbs,Good,Attached,Solar,570270
2008,1991,8767,1409,1701,5,2.0,3,0,0,9,Historic,Good,Detached,Oil,662228
2018,2018,13247,1716,1795,4,2.0,1,3,0,6,Rural,Good,Attached,Electric,422926
2011,2011,6515,3389,875,5,2.5,2,1,0,2,Rural,Good,Detached,Solar,465418
1953,1953,4910,2425,701,1,1.5,2,0,0,1,Rural,Fair,Attached,Gas,261745
1967,1994,13750,947,337,1,3.5,0,3,0,9,Suburbs,Excellent,None,Gas,559809
2005,1996,11076,1455,265,6,2.0,0,3,0,1,Suburbs,Good,None,Electric,339005
1973,2021,18051,2914,802,3,2.0,2,1,0,5,Waterfront,Excellent,Detached,Gas,1200000
2015,1993,7314,3417,1378,6,3.5,0,2,0,1,Waterfront,Good,None,Solar,1152925
1962,2010,5453,2616,359,4,2.5,3,2,1,5,Historic,Good,Attached,Gas,734813
2011,2021,5015,2102,1013,5,2.5,2,0,0,5,Historic,Good,Attached,Electric,606435
2003,2007,13236,3595,1814,6,4.0,2,3,0,7,Suburbs,Poor,Detached,Electric,582953
1964,2022,5800,1242,216,2,3.5,3,2,1,7,Suburbs,Good,Detached,Electric,461378
2018,2018,12023,3744,320,2,1.5,1,0,0,10,Waterfront,Fair,Attached,Gas,1176024
1952,1995,14884,1198,849,3,2.5,2,3,0,1,Rural,Good,Attached,Gas,271361
1986,1986,19352,1951,718,6,4.0,1,0,0,9,Rural,Good,Attached,Oil,450759
1986,1986,15882,4208,1688,4,2.0,3,1,0,1,Waterfront,Excellent,Attached,Gas,1200000
1952,2018,13346,3329,991,2,2.0,2,0,1,5,Historic,Good,Attached,Oil,843579
2012,2012,17035,3795,1716,3,1.5,2,1,0,7,Suburbs,Good,Detached,Electric,839541
1984,1996,19108,3033,1235,6,1.5,3,3,1,8,Suburbs,Good,Attached,Oil,756067
2001,2020,5853,3016,1808,3,3.0,2,3,0,2,Downtown,Excellent,Attached,Electric,1118511
1977,1977,7176,2507,952,4,3.5,1,3,0,1,Rural,Excellent,Detached,Gas,465977
